ID_cliente,Baja,Genero,Ciudadano_Mayor,Pareja,Dependientes,Tiempo_contrato,Servicio_telefonia,Lineas_multiples,Servicio_internet,Seguridad_online,Respaldo_online,Proteccion_dispositivo,Soporte_tecnico,TV_streaming,Peliculas_streaming,Tipo_contrato,Facturacion_digital,Metodo_pago,Cargo_mensual,Total_gastado,Cuentas_Diarias
0020-INWCK,No,Mujer,No,Sí,Sí,71,Sí,Sí,Fibra óptica,No,Sí,Sí,No,No,Sí,Dos años,Sí,Tarjeta de crédito,95.75,6849.4,3.19
0020-JDNXP,No,Mujer,No,Sí,Sí,34,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,Sí,Sí,Un año,No,Cheque postal,61.25,1993.2,2.04
0021-IKXGC,No,Mujer,Yes,No,No,1,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,72.1,72.1,2.4
0022-TCJCI,Sí,Hombre,Yes,No,No,45,Sí,No,DSL,Sí,No,Sí,No,No,Sí,Un año,No,Tarjeta de crédito,62.7,2791.5,2.09
0023-HGHWL,Sí,Hombre,Yes,No,No,1,No,Sin servicio telefónico,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,25.1,25.1,0.84
0023-UYUPN,No,Mujer,Yes,Sí,No,50,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque electrónico,25.2,1306.3,0.84
0023-XUOPT,Sí,Mujer,No,Sí,No,13,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,No,Mensual,No,Cheque electrónico,94.1,1215.6,3.14
0027-KWYKW,No,Mujer,No,Sí,Sí,23,Sí,Sí,Fibra óptica,No,No,No,No,Sí,No,Mensual,Sí,Cheque electrónico,83.75,1849.95,2.79
0030-FNXPP,No,Mujer,No,No,No,3,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque postal,19.85,57.2,0.66
0031-PVLZI,Sí,Mujer,No,Sí,Sí,4,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque postal,20.35,76.35,0.68
0032-PGELS,Sí,Mujer,No,Sí,Sí,1,No,Sin servicio telefónico,DSL,Sí,No,No,No,No,No,Mensual,No,Transferencia bancaria,30.5,30.5,1.02
0036-IHMOT,No,Mujer,No,Sí,Sí,55,Sí,No,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Transferencia bancaria,103.7,5656.75,3.46
0040-HALCW,No,Hombre,No,Sí,Sí,54,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito,20.4,1090.6,0.68
0042-JVWOJ,No,Hombre,No,No,No,26,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Sí,Transferencia bancaria,19.6,471.85,0.65
0042-RLHYP,No,Mujer,No,Sí,Sí,69,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,19.7,1396.9,0.66
0048-LUMLS,No,Hombre,No,Sí,Sí,37,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Un año,No,Tarjeta de crédito,91.2,3247.55,3.04
0048-PIHNL,No,Mujer,No,Sí,No,49,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria,20.45,900.9,0.68
0052-DCKON,No,Hombre,No,Sí,No,66,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Un año,No,Transferencia bancaria,115.8,7942.15,3.86
0052-YNYOT,No,Mujer,No,No,No,67,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque electrónico,20.55,1343.4,0.68
0056-EPFBG,No,Hombre,No,Sí,Sí,20,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,No,No,Dos años,Sí,Tarjeta de crédito,39.4,825.4,1.31
0057-QBUQH,No,Mujer,No,No,Sí,43,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Cheque electrónico,25.1,1070.15,0.84
0058-EVZWM,No,Mujer,No,Sí,No,55,Sí,Sí,Fibra óptica,Sí,No,No,No,Sí,No,Mensual,Sí,Transferencia bancaria,89.8,4959.6,2.99
0060-FUALY,No,Mujer,No,Sí,No,59,Sí,Sí,Fibra óptica,Sí,Sí,No,No,Sí,No,Mensual,Sí,Cheque electrónico,94.75,5597.65,3.16
0064-SUDOG,No,Mujer,No,Sí,Sí,12,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,20.3,224.5,0.68
0064-YIJGF,No,Hombre,No,Sí,Sí,27,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Transferencia bancaria,75.75,1929.0,2.52
0067-DKWBL,Sí,Hombre,Yes,No,No,2,Sí,No,DSL,Sí,No,No,No,No,No,Mensual,Sí,Cheque electrónico,49.25,91.1,1.64
0068-FIGTF,No,Mujer,No,No,No,27,Sí,No,DSL,No,Sí,Sí,Sí,Sí,Sí,Un año,No,Cheque postal,78.2,2078.95,2.61
0071-NDAFP,No,Hombre,No,Sí,Sí,25,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito,25.5,630.6,0.85
0074-HDKDG,No,Hombre,No,Sí,Sí,25,Sí,No,DSL,Sí,Sí,Sí,No,No,No,Un año,Sí,Transferencia bancaria,61.6,1611.0,2.05
0076-LVEPS,No,Hombre,No,No,Sí,29,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,No,Mensual,Sí,Cheque postal,45.0,1242.45,1.5
0078-XZMHT,No,Hombre,No,Sí,No,72,Sí,Sí,DSL,No,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Transferencia bancaria,85.15,6316.2,2.84
0080-EMYVY,No,Mujer,No,No,No,14,Sí,No,DSL,No,Sí,No,No,No,No,Un año,No,Tarjeta de crédito,51.45,727.85,1.72
0080-OROZO,No,Mujer,No,No,No,35,Sí,No,Fibra óptica,No,No,Sí,Sí,Sí,Sí,Un año,Sí,Cheque electrónico,99.25,3532.0,3.31
0082-LDZUE,No,Hombre,No,No,No,1,Sí,No,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque postal,44.3,44.3,1.48
0082-OQIQY,No,Hombre,No,No,No,29,Sí,No,Fibra óptica,No,No,No,Sí,Sí,Sí,Mensual,Sí,Cheque electrónico,94.2,2607.6,3.14
0083-PIVIK,No,Hombre,No,No,No,64,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,No,Un año,No,Cheque electrónico,81.25,5567.55,2.71
0089-IIQKO,No,Mujer,No,Sí,Sí,39,Sí,Sí,Fibra óptica,No,No,No,Sí,Sí,Sí,Mensual,Sí,Tarjeta de crédito,99.95,3767.4,3.33
0093-EXYQL,No,Mujer,Yes,No,No,40,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,91.55,3673.6,3.05
0093-XWZFY,Sí,Hombre,No,No,No,40,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Mensual,Sí,Tarjeta de crédito,104.5,4036.85,3.48
0094-OIFMO,Sí,Mujer,Yes,No,No,11,Sí,No,Fibra óptica,No,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,95.0,1120.3,3.17
0096-BXERS,No,Mujer,No,Sí,No,6,Sí,Sí,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,50.35,314.55,1.68
0096-FCPUF,No,Hombre,No,No,No,30,Sí,Sí,DSL,Sí,No,No,No,No,Sí,Mensual,Sí,Cheque postal,64.5,1888.45,2.15
0098-BOWSO,No,Hombre,No,No,No,27,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque electrónico,19.4,529.8,0.65
0100-DUVFC,No,Hombre,Yes,Sí,No,70,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Un año,Sí,Cheque electrónico,104.8,7308.95,3.49
0103-CSITQ,No,Mujer,No,Sí,No,57,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Transferencia bancaria,109.4,6252.7,3.65
0104-PPXDV,No,Hombre,No,Sí,No,58,Sí,No,DSL,No,No,Sí,No,No,No,Un año,No,Tarjeta de crédito,50.3,2878.55,1.68
0106-GHRQR,No,Hombre,No,No,No,16,Sí,Sí,DSL,No,Sí,Sí,No,No,Sí,Mensual,Sí,Transferencia bancaria,71.4,1212.1,2.38
0106-UGRDO,No,Mujer,No,Sí,No,69,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Cheque electrónico,116.0,8182.85,3.87
0107-WESLM,Sí,Hombre,No,No,No,1,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque electrónico,19.85,19.85,0.66
0107-YHINA,Sí,Hombre,No,No,Sí,1,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí,Mensual,Sí,Cheque electrónico,99.75,99.75,3.32
0111-KLBQG,No,Hombre,Yes,Sí,Sí,32,Sí,No,Fibra óptica,No,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque postal,93.95,2861.45,3.13
0112-QAWRZ,No,Hombre,No,Sí,Sí,16,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,No,Mensual,Sí,Transferencia bancaria,90.8,1442.2,3.03
0112-QWPNC,Sí,Hombre,No,Sí,No,49,Sí,Sí,DSL,Sí,No,Sí,Sí,Sí,Sí,Un año,No,Cheque electrónico,84.35,4059.35,2.81
0114-IGABW,No,Mujer,No,Sí,No,71,No,Sin servicio telefónico,DSL,No,Sí,Sí,Sí,Sí,Sí,Dos años,No,Transferencia bancaria,58.25,4145.9,1.94
0114-PEGZZ,No,Mujer,No,No,No,33,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Mensual,No,Cheque electrónico,107.55,3645.5,3.58
0114-RSRRW,No,Mujer,No,Sí,No,10,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Transferencia bancaria,19.95,187.75,0.66
0115-TFERT,Sí,Hombre,No,Sí,No,21,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Mensual,Sí,Cheque electrónico,111.2,2317.1,3.71
0117-LFRMW,Sí,Hombre,No,Sí,Sí,37,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,No,No,No,Mensual,No,Transferencia bancaria,40.2,1448.8,1.34
0118-JPNOY,No,Mujer,Yes,No,No,26,Sí,No,Fibra óptica,Sí,No,No,No,Sí,No,Mensual,Sí,Tarjeta de crédito,85.8,2193.65,2.86
0121-SNYRK,No,Hombre,No,No,No,50,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No,Un año,Sí,Cheque postal,35.4,1748.9,1.18
0122-OAHPZ,Sí,Mujer,No,No,No,7,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,73.85,511.25,2.46
0123-CRBRT,No,Mujer,No,Sí,Sí,61,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,No,Cheque postal,88.1,5526.75,2.94
0125-LZQXK,Sí,Hombre,No,No,No,15,Sí,No,Fibra óptica,No,No,Sí,Sí,Sí,Sí,Mensual,Sí,Cheque electrónico,101.35,1553.95,3.38
0128-MKWSG,No,Mujer,No,No,Sí,26,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,Sí,Mensual,No,Cheque postal,45.8,1147.0,1.53
0129-KPTWJ,No,Hombre,No,Sí,No,72,Sí,No,Fibra óptica,No,No,Sí,No,Sí,Sí,Mensual,Sí,Cheque electrónico,94.65,6747.35,3.16
0129-QMPDR,No,Hombre,No,Sí,Sí,44,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Sí,Transferencia bancaria,20.5,865.05,0.68
0130-SXOUN,No,Hombre,No,No,No,66,Sí,Sí,Fibra óptica,No,Sí,No,No,No,Sí,Mensual,No,Tarjeta de crédito,89.4,5976.9,2.98
0133-BMFZO,Sí,Mujer,No,No,No,2,Sí,No,Fibra óptica,Sí,Sí,No,Sí,No,No,Mensual,Sí,Cheque electrónico,86.25,181.65,2.88
0134-XWXCE,No,Mujer,Yes,No,No,44,Sí,No,DSL,No,No,Sí,Sí,Sí,Sí,Un año,No,Transferencia bancaria,74.85,3268.05,2.49
0135-NMXAP,Sí,Mujer,No,No,No,12,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No,Mensual,Sí,Transferencia bancaria,89.75,1052.4,2.99
0136-IFMYD,No,Hombre,Yes,Sí,No,69,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Cheque electrónico,109.95,7634.25,3.66
0137-OCGAB,Sí,Mujer,No,No,No,1,Sí,Sí,Fibra óptica,No,Sí,No,No,No,No,Mensual,Sí,Cheque postal,80.2,80.2,2.67
0137-UDEUO,Sí,Mujer,No,No,No,3,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque postal,19.85,63.75,0.66
0139-IVFJG,No,Mujer,No,Sí,No,2,Sí,No,Fibra óptica,Sí,Sí,No,No,Sí,No,Mensual,No,Cheque electrónico,90.35,190.5,3.01
0141-YEAYS,No,Mujer,Yes,No,No,27,Sí,Sí,Fibra óptica,No,Sí,Sí,No,No,No,Mensual,Sí,Transferencia bancaria,86.45,2401.05,2.88
0142-GVYSN,No,Hombre,No,No,No,26,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque electrónico,20.3,511.25,0.68
0147-ESWWR,No,Mujer,Yes,Sí,No,39,Sí,Sí,Fibra óptica,No,No,No,Sí,Sí,Sí,Mensual,Sí,Cheque electrónico,101.25,3949.15,3.38
0148-DCDOS,Sí,Hombre,No,No,No,25,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Transferencia bancaria,94.7,2362.1,3.16
0151-ONTOV,Sí,Mujer,No,No,No,1,Sí,No,Fibra óptica,No,No,No,No,No,No,Mensual,No,Cheque postal,70.9,70.9,2.36
0156-FVPTA,Sí,Hombre,No,Sí,No,22,Sí,No,DSL,Sí,No,No,Sí,No,No,Mensual,Sí,Cheque electrónico,54.2,1152.7,1.81
0164-APGRB,No,Mujer,No,No,No,72,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Cheque electrónico,114.9,8496.7,3.83
0164-XAIRP,No,Mujer,No,No,No,24,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Transferencia bancaria,19.55,470.2,0.65
0168-XZKBB,No,Mujer,No,Sí,No,19,Sí,Sí,Fibra óptica,No,No,No,No,Sí,No,Mensual,Sí,Cheque electrónico,86.85,1564.4,2.9
0174-QRVVY,No,Hombre,No,Sí,Sí,71,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito,25.35,1847.55,0.85
0177-PXBAT,No,Hombre,Yes,Sí,No,33,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí,Mensual,Sí,Transferencia bancaria,109.9,3694.7,3.66
0178-CIIKR,No,Mujer,No,No,No,3,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque postal,19.95,58.0,0.66
0178-SZBHO,No,Hombre,No,Sí,Sí,47,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No,Mensual,No,Cheque electrónico,87.2,4017.45,2.91
0181-RITDD,No,Hombre,No,Sí,Sí,62,Sí,No,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,No,Cheque postal,108.15,6825.65,3.6
0186-CAERR,No,Hombre,No,No,No,71,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Transferencia bancaria,116.3,8309.55,3.88
0187-QSXOE,No,Hombre,Yes,Sí,No,7,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,89.0,605.45,2.97
0187-WZNAB,No,Mujer,No,Sí,Sí,27,Sí,No,Fibra óptica,Sí,No,No,No,No,No,Mensual,No,Cheque postal,74.4,1972.35,2.48
0188-GWFLE,No,Hombre,No,No,No,2,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque postal,20.05,33.7,0.67
0191-EQUUH,No,Mujer,No,No,Sí,25,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No,Dos años,No,Transferencia bancaria,35.05,844.45,1.17
0191-ZHSKZ,No,Hombre,Yes,No,No,30,Sí,No,DSL,Sí,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,74.75,2111.3,2.49
0193-ESZXP,Sí,Mujer,Yes,Sí,No,58,Sí,No,Fibra óptica,Sí,Sí,No,Sí,Sí,Sí,Un año,Sí,Tarjeta de crédito,105.5,6205.5,3.52
0195-IESCP,Sí,Hombre,No,Sí,No,10,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí,Mensual,Sí,Cheque electrónico,85.25,855.3,2.84
0196-JTUQI,No,Mujer,No,No,No,9,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Tarjeta de crédito,75.2,633.85,2.51
0196-VULGZ,Sí,Mujer,Yes,Sí,No,6,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí,Mensual,Sí,Cheque electrónico,84.35,474.9,2.81
0197-PNKNK,No,Mujer,No,Sí,Sí,69,Sí,Sí,Fibra óptica,Sí,No,Sí,No,No,No,Un año,No,Transferencia bancaria,84.45,5848.6,2.82
0201-MIBOL,No,Mujer,Yes,No,No,66,Sí,Sí,Fibra óptica,Sí,No,No,No,Sí,Sí,Dos años,Sí,Transferencia bancaria,102.4,6471.85,3.41
0201-OAMXR,Sí,Mujer,No,No,No,70,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Un año,No,Tarjeta de crédito,115.55,8127.6,3.85
0203-HHYIJ,Sí,Hombre,No,No,No,25,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria,25.3,676.35,0.84
0206-OYVOC,No,Mujer,No,Sí,Sí,46,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Cheque postal,19.25,864.2,0.64
0206-TBWLC,No,Mujer,No,Sí,No,54,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Cheque postal,114.65,6049.5,3.82
0207-MDKNV,Sí,Mujer,No,No,No,15,Sí,No,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí,Mensual,No,Cheque electrónico,105.1,1582.75,3.5
0208-BPQEJ,No,Mujer,No,Sí,Sí,12,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Transferencia bancaria,19.4,198.1,0.65
0212-ISBBF,No,Mujer,No,No,No,22,No,Sin servicio telefónico,DSL,No,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,50.35,1098.85,1.68
0214-JHPFW,No,Mujer,No,Sí,No,70,No,Sin servicio telefónico,DSL,No,Sí,Sí,Sí,Sí,Sí,Dos años,No,Transferencia bancaria,57.8,4039.3,1.93
0215-BQKGS,No,Hombre,No,No,No,30,Sí,No,Fibra óptica,Sí,Sí,Sí,No,No,No,Mensual,Sí,Tarjeta de crédito,84.3,2438.6,2.81
0218-QNVAS,No,Hombre,No,Sí,Sí,71,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,Sí,Un año,No,Transferencia bancaria,100.55,7113.75,3.35
0219-QAERP,No,Hombre,No,Sí,No,30,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Tarjeta de crédito,19.8,576.65,0.66
0219-YTZUE,Sí,Hombre,No,Sí,Sí,4,Sí,Sí,Fibra óptica,No,Sí,Sí,No,No,No,Mensual,Sí,Transferencia bancaria,84.8,371.9,2.83
0220-EBGCE,Sí,Hombre,No,No,No,2,Sí,No,Fibra óptica,No,No,Sí,No,No,Sí,Mensual,Sí,Cheque electrónico,85.85,167.3,2.86
0221-NAUXK,No,Hombre,No,No,Sí,10,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Sí,Transferencia bancaria,19.95,219.5,0.66
0221-WMXNQ,No,Hombre,Yes,No,No,4,Sí,No,Fibra óptica,Sí,No,No,No,No,No,Mensual,No,Cheque electrónico,75.35,273.4,2.51
0222-CNVPT,No,Hombre,Yes,No,No,52,No,Sin servicio telefónico,DSL,Sí,No,No,No,Sí,Sí,Mensual,Sí,Tarjeta de crédito,48.8,2555.05,1.63
0224-HJAPT,Sí,Hombre,No,No,No,5,Sí,Sí,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,47.15,223.15,1.57
0224-NIJLP,No,Hombre,No,Sí,Sí,8,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque postal,20.15,165.5,0.67
0224-RLWWD,No,Mujer,Yes,No,No,2,Sí,No,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,44.3,89.3,1.48
0225-ZORZP,No,Hombre,No,No,No,3,Sí,No,Fibra óptica,No,Sí,No,No,No,Sí,Mensual,No,Cheque electrónico,84.3,235.05,2.81
0228-MAUWC,No,Hombre,No,No,No,19,Sí,Sí,DSL,No,No,Sí,Sí,No,No,Mensual,No,Cheque electrónico,59.55,1144.6,1.98
0229-LFJAF,No,Hombre,No,No,No,72,Sí,Sí,DSL,Sí,Sí,Sí,Sí,No,No,Dos años,No,Transferencia bancaria,69.65,4908.25,2.32
0230-UBYPQ,No,Hombre,Yes,Sí,No,63,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No,Un año,No,Transferencia bancaria,36.1,2298.9,1.2
0230-WEQUW,No,Hombre,No,Sí,No,66,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,Sí,No,Dos años,Sí,Transferencia bancaria,56.6,3789.2,1.89
0231-LXVAP,Sí,Hombre,No,No,No,1,Sí,No,Fibra óptica,No,No,No,Sí,No,No,Mensual,Sí,Cheque electrónico,75.9,75.9,2.53
0233-FTHAV,No,Mujer,No,No,No,60,Sí,Sí,Fibra óptica,No,No,Sí,No,No,No,Un año,Sí,Transferencia bancaria,79.2,4765.0,2.64
0234-TEVTT,No,Mujer,No,Sí,Sí,48,No,Sin servicio telefónico,DSL,Sí,No,Sí,No,No,Sí,Un año,No,Tarjeta de crédito,45.0,2196.3,1.5
